0,Weapon,Name,Rating,Accuracy(%),Shot fired,Hits,Deaths,DMG_Get,Sex
1049,Gun,Ania,22.8,8.0,1980.0,159.0,34.0,269.0,Women
1050,Gun,Kasia,14.1,7.8,1220.0,95.0,27.0,259.0,Women
1051,Rifle,Natalia_Cz,547.4,46.6,365.0,170.0,0.0,19.0,Women
1052,Gun,Nikodem,143.9,24.2,1325.0,320.0,7.0,109.0,Men
1053,Rifle,Miłosz,117.8,29.1,851.0,248.0,12.0,110.0,Men
1054,Rifle,Natalia_N,91.3,34.2,523.0,179.0,11.0,109.0,Women
1055,Gun,Ania,34.0,10.2,706.0,72.0,8.0,84.0,Women
1056,Gun,Zosia,33.5,11.6,1936.0,224.0,30.0,274.0,Women
1057,Gun,Asia,12.7,3.5,1412.0,49.0,14.0,137.0,Women
1058,Gun,Ania,6.7,2.5,630.0,16.0,4.0,83.0,Women
1059,Gun,Amelka,5.3,8.2,355.0,29.0,29.0,210.0,Women
1060,Gun,Julka,2.0,0.9,1219.0,11.0,16.0,183.0,Women
1061,Rifle,Przemo,71.8,20.9,2307.0,483.0,55.0,419.0,Men
1062,Rifle,Kuba,54.0,18.0,1740.0,313.0,39.0,328.0,Men
1063,Rifle,Alek,53.9,20.7,2194.0,454.0,85.0,558.0,Men
1064,Rifle,Mariusz,32.3,12.4,1992.0,248.0,55.0,438.0,Men
1065,Rifle,Filip,29.6,10.9,2108.0,229.0,49.0,391.0,Men
1066,Rifle,Igor,23.6,8.2,2321.0,190.0,62.0,383.0,Men
1067,Rifle,Oskar,106.5,24.2,3933.0,952.0,45.0,441.0,Men
1069,Rifle,Tomek,63.8,18.0,3309.0,595.0,49.0,422.0,Men
1070,Gun,Niko,63.5,16.9,4097.0,692.0,60.0,485.0,Men
1071,Rifle,Leon,48.2,15.3,3427.0,524.0,57.0,472.0,Men
1072,Gun,Aleksander,47.3,18.1,2431.0,441.0,54.0,422.0,Men
1074,Gun,Klaudia,32.2,13.2,2504.0,331.0,43.0,432.0,Women
1075,Gun,Kuba_D,26.3,15.4,1587.0,244.0,50.0,404.0,Men
1076,Gun,Radek,15.2,6.1,2388.0,145.0,50.0,355.0,Men
1077,Gun,Michał,14.9,8.7,2001.0,174.0,51.0,455.0,Men
1078,Gun,Eryk,14.4,7.1,2638.0,186.0,63.0,491.0,Men
1079,Rifle,Tomek_W,106.4,16.9,1467.0,248.0,34.0,253.0,Men
1080,Rifle,Tomek_P,62.7,17.7,1129.0,200.0,37.0,275.0,Men
1081,Gun,Piotrek,61.7,12.2,1048.0,128.0,26.0,199.0,Men
1082,Gun,Paweł,30.2,9.0,1067.0,96.0,38.0,286.0,Men
1083,Rifle,Szymek,28.6,14.2,795.0,113.0,54.0,372.0,Men
1084,Gun,Michał,17.9,9.6,669.0,64.0,39.0,243.0,Men
1085,Gun,Seweryn,16.6,7.8,834.0,65.0,39.0,264.0,Men
1086,Rifle,Michał,78.1,30.4,1218.0,370.0,28.0,253.0,Men
1087,Rifle,Łukasz,77.5,23.6,1593.0,376.0,24.0,237.0,Men
1088,Rifle,Maciej,44.6,15.2,1352.0,205.0,20.0,199.0,Men
1089,Rifle,Miłosz,39.7,15.3,1302.0,199.0,22.0,217.0,Men
1090,Gun,Aga,24.7,10.1,1347.0,136.0,25.0,220.0,Women
1091,Gun,Kornel,19.1,10.0,1477.0,147.0,35.0,307.0,Men
1094,Gun,Janek,46.1,19.6,2119.0,416.0,65.0,544.0,Men
1095,Gun,Niko,42.7,19.7,2257.0,444.0,89.0,686.0,Men
1097,Gun,Kacper,26.3,11.2,2598.0,290.0,98.0,797.0,Men
1098,Rifle,Krzyś,69.3,9.2,5345.0,490.0,12.0,278.0,Men
1099,Rifle,Antek,62.6,10.9,3848.0,421.0,24.0,272.0,Men
1100,Rifle,Hubert,46.3,15.4,2696.0,414.0,40.0,389.0,Men
1101,Gun,Olaf,35.5,11.6,3205.0,373.0,38.0,430.0,Men
1102,Rifle,Szymon,34.7,11.5,3610.0,416.0,56.0,490.0,Men
1103,Gun,Filip,34.0,25.3,1089.0,275.0,44.0,405.0,Men
1104,Rifle,Emilia,31.4,7.8,3747.0,293.0,32.0,359.0,Women
1105,Rifle,Michał,30.1,6.7,3476.0,234.0,24.0,293.0,Men
1110,Gun,Mateusz,124.2,29.4,2343.0,690.0,22.0,293.0,Men
1111,Gun,Janek_H,62.9,13.3,2712.0,362.0,22.0,242.0,Men
1112,Gun,Franek,54.4,15.0,2990.0,448.0,24.0,356.0,Men
1113,Rifle,Sebastian,42.7,14.7,3888.0,573.0,61.0,578.0,Men
1114,Gun,Dawid,36.0,13.0,1518.0,197.0,7.0,229.0,Men
1115,Rifle,Szymon,32.8,13.3,2697.0,359.0,59.0,461.0,Men
1116,Gun,Tomek,32.8,13.8,2235.0,308.0,47.0,398.0,Men
1117,Gun,Michał,32.6,11.1,2634.0,293.0,36.0,365.0,Men
1118,Gun,Janek_P,28.5,10.0,2455.0,246.0,29.0,344.0,Men
1120,Gun,Kacper,18.1,7.7,1491.0,115.0,16.0,244.0,Men
1121,Rifle,Radomir,74.9,22.6,2759.0,624.0,51.0,468.0,Men
1122,Gun,James,64.2,25.7,2335.0,599.0,67.0,560.0,Men
1123,Rifle,Kuba,56.3,23.2,1874.0,435.0,52.0,460.0,Men
1124,Gun,Kamil,49.7,21.2,2099.0,445.0,52.0,478.0,Men
1125,Rifle,Agnieszka,48.6,20.2,1702.0,344.0,35.0,372.0,Women
1126,Rifle,Krzysiek,46.8,13.2,2578.0,340.0,48.0,395.0,Men
1127,Rifle,Karol,39.8,21.6,1849.0,400.0,67.0,563.0,Men
1128,Rifle,Darek,39.1,16.2,2284.0,371.0,50.0,466.0,Men
1129,Gun,Magda,36.9,14.4,2080.0,300.0,46.0,408.0,Women
1130,Gun,Gośka,36.7,21.2,1696.0,359.0,77.0,589.0,Women
1131,Gun,Kacper,34.6,14.2,2170.0,309.0,49.0,453.0,Men
1132,Gun,Ala,30.8,16.4,1834.0,301.0,61.0,509.0,Women
1134,Gun,Misiek,74.5,14.5,1521.0,220.0,6.0,126.0,Men
1136,Gun,Hania,52.2,18.5,1088.0,201.0,18.0,175.0,Women
1139,Gun,Igor,47.4,10.4,768.0,80.0,0.0,67.0,Men
1142,Gun,Kacper,27.3,7.4,1975.0,147.0,22.0,205.0,Men
1146,Gun,Mela,16.2,4.5,911.0,41.0,2.0,91.0,Women
1147,Gun,Joanna,15.9,3.0,1801.0,54.0,5.0,119.0,Women
1149,Rifle,Dominik,170.9,23.4,1941.0,454.0,10.0,129.0,Men
1158,Gun,Ela,16.0,7.0,1276.0,89.0,18.0,210.0,Women
1160,Gun,Niko,136.7,21.6,3585.0,773.0,21.0,269.0,Men
1161,Gun,Kuba_K,77.0,15.4,4620.0,712.0,33.0,402.0,Men
1162,Rifle,Antek,72.3,15.9,4646.0,737.0,41.0,447.0,Men
1164,Rifle,Adam,45.1,10.9,4465.0,488.0,41.0,438.0,Men
1165,Gun,Mateusz,37.0,11.8,3134.0,369.0,41.0,410.0,Men
1166,Gun,Patrycja,34.6,13.9,2628.0,366.0,50.0,450.0,Women
1167,Gun,Leon,29.8,8.0,3565.0,284.0,36.0,368.0,Men
1168,Rifle,Maja,25.9,12.5,1690.0,212.0,38.0,340.0,Women
1169,Gun,Ola,20.5,6.1,2464.0,151.0,26.0,274.0,Women
1170,Gun,Kuba_Sz,18.9,7.7,3202.0,246.0,57.0,500.0,Men
1171,Gun,Kamil,7.4,2.0,2968.0,59.0,25.0,277.0,Men
1172,Gun,Laura,2.0,1.0,2437.0,25.0,42.0,433.0,Women
1176,Gun,Żelek,52.3,22.1,1839.0,407.0,41.0,397.0,Men
1179,Gun,Franek,30.5,14.5,2114.0,306.0,61.0,460.0,Men
1183,Rifle,Piotr,79.1,22.5,1786.0,401.0,28.0,244.0,Men
1189,Gun,Mati,50.7,20.0,1140.0,228.0,21.0,209.0,Men
1198,Gun,Olga,92.7,19.8,1270.0,251.0,7.0,125.0,Women
1199,Gun,Ala,83.7,15.1,1430.0,216.0,10.0,111.0,Women
1200,Gun,Hania,56.3,4.6,1492.0,68.0,2.0,43.0,Women
1205,Gun,Marysia,27.9,3.1,1327.0,41.0,2.0,51.0,Women
1206,Gun,Nati,21.1,5.1,1421.0,73.0,13.0,126.0,Men
1210,Rifle,Kuba,92.1,18.8,3010.0,566.0,38.0,341.0,Men
1211,Gun,Krzysiek,92.1,15.2,3756.0,570.0,18.0,298.0,Men
1212,Rifle,Adam,75.2,16.5,2521.0,417.0,31.0,305.0,Men
1213,Gun,Paulina,53.6,11.8,1472.0,173.0,19.0,174.0,Women
1214,Rifle,Ola,51.5,11.6,2888.0,335.0,31.0,326.0,Women
1216,Gun,Beata,28.9,13.7,2322.0,318.0,72.0,575.0,Women
1217,Gun,Weronika,27.1,14.8,1544.0,228.0,49.0,429.0,Women
1218,Gun,Agata,23.4,10.0,1823.0,183.0,50.0,402.0,Women
1221,Gun,Ala,57.4,10.7,2717.0,292.0,15.0,205.0,Women
1225,Gun,Klara,21.3,5.8,1945.0,112.0,18.0,195.0,Women
1229,Rifle,Przemo,56.9,12.4,1552.0,193.0,8.0,140.0,Men
1233,Gun,Adi,42.7,11.0,2131.0,234.0,21.0,222.0,Men
1234,Gun,Ania,32.7,22.5,747.0,168.0,21.0,247.0,Women
1235,Gun,Zuza_Bejter,31.3,15.0,768.0,115.0,7.0,158.0,Women
1236,Rifle,Michał,28.3,20.8,684.0,142.0,24.0,236.0,Men
1238,Gun,Teresa,27.0,9.0,1340.0,121.0,9.0,175.0,Women
1239,Gun,Oliwia_Incognito,16.3,4.9,1321.0,65.0,9.0,145.0,Women
1241,Gun,Dominik,60.0,12.3,2347.0,289.0,11.0,199.0,Men
1242,Rifle,Kinga,41.2,10.2,1910.0,195.0,24.0,189.0,Women
1243,Rifle,Michał,36.6,14.7,1531.0,225.0,27.0,264.0,Men
1245,Rifle,Łukasz,194.8,23.4,868.0,203.0,7.0,86.0,Men
1246,Gun,Agata,42.1,9.3,699.0,65.0,18.0,144.0,Women
1247,Gun,Marzena,27.7,6.8,599.0,41.0,17.0,133.0,Women
1248,Gun,Monika,26.1,8.9,798.0,71.0,22.0,208.0,Women
1249,Rifle,Aneta,22.1,6.0,654.0,39.0,19.0,167.0,Women
1250,Gun,Marek,17.8,6.5,650.0,42.0,24.0,172.0,Men
1251,Gun,Paulina,13.3,5.9,356.0,21.0,12.0,112.0,Women
1252,Gun,Jola,64.9,12.3,724.0,89.0,6.0,80.0,Women
1253,Rifle,Cyryl,61.0,16.6,860.0,143.0,12.0,127.0,Men
1254,Gun,Klaudia,40.8,11.2,511.0,57.0,5.0,80.0,Women
1256,Rifle,Jan,25.7,9.5,1142.0,109.0,18.0,191.0,Men
1257,Rifle,Dawid,72.3,18.2,1768.0,321.0,30.0,273.0,Men
1260,Gun,Maniek,48.5,9.6,2542.0,244.0,32.0,235.0,Men
1261,Gun,Grzesiek,36.3,12.6,1733.0,219.0,44.0,299.0,Men
1262,Gun,Dominik,33.8,9.1,2110.0,193.0,35.0,272.0,Men
1264,Gun,Kuba,25.0,18.5,1165.0,215.0,71.0,470.0,Men
1265,Rifle,Szymon,78.0,15.5,6810.0,1058.0,49.0,591.0,Men
1266,Rifle,Krzysiek,59.8,11.1,8235.0,912.0,61.0,620.0,Men
1268,Rifle,Kuba,57.0,11.6,6466.0,749.0,33.0,539.0,Men
1269,Rifle,Antek,55.4,13.3,5561.0,740.0,47.0,563.0,Men
1270,Rifle,Michał,51.3,12.3,4136.0,509.0,34.0,411.0,Men
1273,Rifle,Franek,24.7,8.5,5229.0,444.0,84.0,699.0,Men
1274,Gun,Alex,18.2,4.6,4994.0,229.0,39.0,458.0,Men
1275,Gun,Natan,15.5,10.1,2682.0,270.0,80.0,697.0,Men
1276,Gun,Wojtek,7.0,7.0,1367.0,96.0,52.0,518.0,Men
1277,Gun,Franek,213.0,25.7,4891.0,1258.0,24.0,333.0,Men
1279,Rifle,Maciuś,97.8,25.3,2489.0,629.0,36.0,352.0,Men
1280,Gun,Ala,43.7,17.6,2642.0,465.0,78.0,617.0,Women
1282,Gun,Gosia,24.7,12.5,851.0,106.0,16.0,178.0,Women
1286,Gun,Filip,140.1,31.5,934.0,294.0,5.0,113.0,Men
1290,Gun,Antek,10.5,6.8,1092.0,74.0,28.0,267.0,Men
1293,Rifle,Kamil,49.9,20.5,1748.0,359.0,40.0,637.0,Men
1294,Gun,Przemek,48.0,16.6,2337.0,389.0,54.0,759.0,Men
1295,Gun,Daria,44.9,13.7,2277.0,313.0,40.0,895.0,Women
1296,Gun,Seba,41.5,12.5,2500.0,313.0,33.0,613.0,Men
1297,Rifle,Dawid_Wo.,39.4,16.2,1985.0,321.0,40.0,359.0,Men
1298,Rifle,Dawid_Wa.,35.8,13.3,3372.0,450.0,69.0,930.0,Men
1299,Gun,Ala,17.2,11.3,1386.0,156.0,54.0,570.0,Women
1304,Gun,Leon,43.4,13.6,2346.0,318.0,31.0,340.0,Men
1305,Gun,Tymon,43.4,9.4,4271.0,400.0,43.0,406.0,Men
1306,Gun,Michał,36.2,10.9,4499.0,489.0,82.0,697.0,Men
1307,Gun,Olek,32.2,7.2,3459.0,249.0,22.0,330.0,Men
1308,Gun,Mateusz,22.2,7.5,3319.0,248.0,60.0,565.0,Men
1309,Gun,Antek,14.8,8.1,2308.0,188.0,65.0,575.0,Men
1313,Rifle,Wicio,51.4,15.1,1658.0,250.0,39.0,294.0,Men
1318,Rifle,Oskar,32.1,10.5,1696.0,178.0,54.0,349.0,Men
